Brittleness,SieverJValue,DrillingRateIndex,Label
83.5,0.69,65,5
70.8,0.75,57,5
68.8,0.7,55,5
80.2,0.71,64,5
87.85,0.65,63,5
65.66,0.67,48,4
75.82,0.7,60,4
54.72,0.65,40,4
56.01,0.66,40,4
66.34,0.67,52,4
75.24,0.66,60,5
88.24,0.73,67,5
85.11,0.72,63,5
78.79,0.69,66,5
80.32,0.7,64,5
58.26,0.62,43,4
66.24,0.65,46,4
60.18,0.63,42,4
67.18,0.65,44,4
54.84,0.6,40,4
32.15,0.56,18,1
34.62,0.58,19,1
31.5,0.58,18,1
38.68,0.61,23,1
35.2,0.6,22,1
71.6,0.68,57,4
68.78,0.68,55,4
64.24,0.62,47,4
72.04,0.7,60,4
65.94,0.67,51,4
65.2,0.71,49,4
59,0.61,44,4
66.8,0.72,55,4
64.4,0.65,50,4
65.2,0.67,52,4
56.21,0.64,42,3
55.72,0.62,38,3
53.26,0.6,36,3
54.42,0.6,38,3
57.44,0.64,36,3
50.78,0.6,32,2
49.66,0.56,32,2
48.5,0.55,28,2
47.86,0.55,32,2
52.1,0.74,36,2
